,reviewer_name,review_date,review,mojo_name,rt_name
26,Nathan t,"May 28, 2021","Avatar is an American science fiction film, directed by James Cameron and released in 2009. In this film we can find many guess like Sam Worthington or Sigourney Weaver. They portray Jake Sully and Dr. Grace Augustine. The main character Jake Sully try to understand how does a new specie live in Pandora. The film is about the probably future of humanity. The humans have deleted all the ressources of the earth, so they try to visit others planets for maybe find minerals. During this film we are on Pandora, a moon of a new planet. Human species can live in the Pandora's atmosphere, but scientist found a possibility to go discover all the planet. Take control of humanoids who live in Pandora. So we follow Jake Sully and Dr. Grace Augustin who will try to make contact with Eywa the chief of this new population. When I watched this movie for the first time the plot convinced me, because it is unpredictable and highly absorbing. There are many unexpected during all the movie. I must talk to you about the special effects. This movie is, for me, the most staggering film of the last 10 years. All jungle and humanoids made with special effects, the colors and the mood are very special. Each flowers or trees are detailed. It is perfectly stunning. The photography also is breathtaking, colors enable to convince all the viewers. There different cinematography techniques which give a beautiful introduction and transitions during the movie. Actors, portrayed, a human character but also a humanoid character, they must keep the same attitude and the same mouvements when they represented creatures. Each actor is natural and it's likeable to see. To sum up, I can say that this movie must be watch by everybody. With all work to make the special effects and the script, this movie seem prefect.",Avatar,Avatar - Movie Reviews
27,Jasper S,"May 27, 2021","De wereld van avatar roept bij mij vooral emoties van verwondering op. De wereld is zo wonder schoon en goed uitgewerkt. Je kan de hele film 2 keer kijken 1 keer voor de film zelf en de tweede keer voor de visuals. Het best voor deze film is om hem in de bioscoop te bekijken. Daar in die donkere bioscoop waar niks uitmaakt behalve de film worden bijna alle zintuigen geprikkeld. De dolby atmos surround sound zorgt ervoor dat jou oren alles meekrijgen wat er om jou heen gebeurt. Van het kogelschot rechts voor naar het fluitende vogeltje links achter. Het grote doek zorgt ervoor data jou hele gezicht veld word opgenomen door deze adem benemende film. Je voelt misschien niks fysiek op je huid neerkomen maar als jij kippenvel krijgt van de film merk jij dat heus. Het jammere is dat je de film niet kan ruiken of proeven wat zou dat een beleving zijn. Dan zou er bijna geen verschil meer zitten tussen film en realiteit. Deze wereld bevind zich in het universum met de aarde. De wereld zelf bevind zich echter op een andere planeet binnen dit universum. De wereld lijkt erg op de aarde met het aantal gewassen die overal staan alleen is alles een stuk groter. James Cameron is de regisseur en schrijver van de film. Dus de wereld is in zijn hoofd gemaakt. De mensen die de wereld daadwerkelijk gemaakt hebben zoals jij het in de bioscoop mag zien is gemaakt door een groep van meer dan 1000 mensen een gigantische computer server en een groot budget. Filmen begon in april 2007. Dat betekent natuurlijk niet dat deze film toen al af was want hij was pas in december 2009 te zien in de bioscopen. Avatar is een box office film gedirigeerd en geschreven door James Cameron die zich afspeelt op een andere planeet. De boodschap van avatar is dat je zuinig moet zijn op je grondstoffen. En je zuinig moet zijn op de planeet waarop je woont. De doelgroep van Avatar is iedereen die van films houd vooral van een beetje science fiction. Er zit niet perse een leeftijd grens aan de film je moet alleen wel 13 zijn om de film te kunnen zien. Het verhaal van de wereld is dat de aarde niet meer goed bewoonbaar is en de mensen van de aarde naar een andere planeet gaan om daar grondstoffen te verkrijgen om rijk te worden. De hoofdrolspeler is een man die geen functionaliteit meer heeft in zijn benen en naar de planeet komt voor onderzoek. Hij gaat zichzelf over zetten in een lichaam van de inboorlingen waarin hij ook weer kan lopen. Het conflict van het verhaal is tussen mens/machine en inboorling/natuur. De inboorlingen houden namelijk van hun wereld en behandelen de wereld met de respect dat die nodig heeft en de mensen komen alles kapot maken. De hoofdrol speler zorgt ervoor dat er een connectie gelegd word tussen mens en inboorling maar stapt uiteindelijk over naar de kant van de inboorlingen om hun te helpen mens te verslaan. De characters Bestaan uit mensen, mensen in machines, Na'vi (inboorling), en meerdere dieren. In de wereld waar de mensen komen is alles een stuk groter dus de mensen maken exoskeletons om een kans te hebben. De Na'vi aan de andere kant zijn zo in toon met de natuur dat is een vlecht hebben waarmee ze een band kunnen maken met dieren. De sferen die in het verhaal komen zijn heel wissel valig door de film heen. In het begin is het vooral leuk dat je alles kan ontdekken en sta je achter de mensen. Als de hoofdpersoon met zijn lichaam van een na'vi het kamp van de na'vi binnen komt is er vooral liefde. Daarna sta je achter de na'vi en is er vooral verdriet over de destructie van de mensen. Maar op het eind is het euforie door de overwinning van de na'vi. Een hele achtbaan aan sferen dus De film word foto realistisch vorm gegeven op een 2d doek. Ook 3d als je de bioscoop extra betaald en je een bril opdoet. Het thema van de wereld is natuur en duurzaamheid.",Avatar,Avatar - Movie Reviews
28,Jeff B,"May 24, 2021","It felt like a lot happened, but was still entertaining enough.",Avatar,Avatar - Movie Reviews
29,Tanner E,"May 16, 2021","I could not get though the first 20 minutes of this film. It might just be the worst acting I've ever seen, and the worst dialogue I've ever encountered. I'm told there are very redeeming qualities beyond this horrid beginning. But if you can't keep my attention, why should I grant it to you?",Avatar,Avatar - Movie Reviews
30,Csar G,"May 15, 2021","Terrible film, Space Pocahontas",Avatar,Avatar - Movie Reviews
31,Katherine E,"May 09, 2021","I absolutely loved this movie from beginning to end... AND want more! I watched this and was searching google to answer if they were making another before the credit rolled out. Great CGI. Excellent cast! The Na'Vi are amazing creatures, I seriously fell in love with them! The best part was the story line of Jake Sully and how he become whole and accepted with the Na'Vi. He found his love but better yet, he found a place to belong! A must see!!",Avatar,Avatar - Movie Reviews
32,George K,"May 02, 2021",It is a solid movie with some great acting but what really elevates it is the absolute gorgeous visual effects and CGI,Avatar,Avatar - Movie Reviews
33,Ashley L,"May 01, 2021",Magically transforms you into a world of creativity with an astoundingly good plot.,Avatar,Avatar - Movie Reviews
34,Georgan G,"Apr 30, 2021","Love the colors, the characters, the story and everything else about this movie!",Avatar,Avatar - Movie Reviews
35,"Apr 28, 2021","One of the best, unique movies I’ve seen. Leti was awesome like always.",FLAG THIS REVIEW,Avatar,Avatar - Movie Reviews
36,"Apr 27, 2021","The main film of the year 2009 is «Avatar» by James Cameron, the producer of such films as «Terminator», «Titanic», «The Strangers». This film ranks with above-mentioned world-famous films and probably belongs to the science-fiction genre. The action of the film is set on the planet Pandora in the year of 3000. The plot is rather simple: the super hero Avatar is to save the alien planet and to fulfill this mission he struggles with a lot of difficulties. The main character, Jack Sally, is a disabled navy who has just come back from the war. The film starts with the scene when he is invited to take part in a secret expedition to the planet, inhabited by weird creatures. Thus, he becomes the part of the programme called Avatar. Being turned into a a three-metre giant with blue skin, he is sent to the planet with the help of special «drivers» that link his mind to the mind of Avatar. What impressed me most is the spectacular world of aliens that we, the audience, see through the eyes of the main character. The special effects and 3D technologies enhance the impression of the bright and colourful world in contrast to the human one, which is grey and dying. The plot of the film is fast-moving with some amusing episodes. For those who are indifferent to the computer graphics, there is another storyline that is love of «the dream worker» to a beautiful female alien, who, being hostile and suspicious at first, falls in love with him. Such love is forbidden and as a result the pair is chased by the aliens. Happily, they managed to escape in the end. To my mind, the brillant acting of Sam Worthingdon, who is starring in the film, is above all expectations. To sum up, I can say that the film «Avatar» is that kind of film that takes us to a special world beyond imagination. More than that, it is the film that you want to watch over and over again. Definitely, the new film by Cameron couldn't be missed.",SHOW MORE,Avatar,Avatar - Movie Reviews
37,"Apr 27, 2021","I saw this in theatres back in 2009 after hearing a lot of good stuff about it, and then after I saw it, I was like, “Dude! THIS is the next Star Wars!” And i even saw it in 3D! This is one movie that Just HAD to be seen in 3D! Loved it! Great action, special effects and a powerful story. The story has similarities from both Fern Gully and Dances with Wolves. I was blown away!! James Cameron did a great Job of creating this new world of Pandora and the Navi and the Beautiful creatures of this world. The cast such as leads Sam Worthington and Zoe Saldana also did a tremendous job! Also standouts were CCH Pounder, Stephen Lang, Laz Alonzo, and SciFi Queen Sigourney Weaver",SHOW MORE,Avatar,Avatar - Movie Reviews
38,Juan Manuel L,"Apr 13, 2021",esta es una gran pelicula con cgi impresionante y trama llena de accion llena de emocion,Avatar,Avatar - Movie Reviews
39,anil m,"Apr 04, 2021",only 4 words Best Movie Ever Made,Avatar,Avatar - Movie Reviews
40,Asyraf A,1h ago,Good closure for some of the superheroes. Perfect! Lovely! Poetic!,Avengers: Endgame,Avengers: Endgame - Movie Reviews
41,Lilly A,6h ago,"""Love You 300"", ""Avengers Assemble"" and ""Whatever it takes"" This movie is the gorgeous end of a ten year saga I was expecting or more, the runtime of this movie is three hours 2 minutes and doesn't have any mid or post credit scenes but sit till the end. I...I don't know what to say it is the absolute must see so 5/5 but I still like Infinity War more than Endgame",Avengers: Endgame,Avengers: Endgame - Movie Reviews
42,Daniel R,8h ago,"Though I feel that Avengers Endgame is carried by its load of fanservice at times , and that this movie was a tad bit overrated, it still is a truly amazing movie. It definitely lived up to my expectations, and was a great way to end the infinity saga. Everyone was great, and though I do hate to see Cap and Tony go, they at least executed it well. I love it 3,000.",Avengers: Endgame,Avengers: Endgame - Movie Reviews
43,Matt J,2d ago,Absolutely worth the elongated time to watch this film: there probably won't ever be another quite like it in how it was the culmination of so many years of films.,Avengers: Endgame,Avengers: Endgame - Movie Reviews
44,Murtaza A,Verified,2d ago,Avengers: Endgame,Avengers: Endgame - Movie Reviews
45,Dastin Lingkar R,2d ago,This movie is so great and it made 2019 the best year of my life,Avengers: Endgame,Avengers: Endgame - Movie Reviews
46,Simon O,4d ago,The final battle and defeat of Thanos was catharsis.,Avengers: Endgame,Avengers: Endgame - Movie Reviews
47,Michael D,5d ago,"The BEST movie in the Marvel Universe thus far. Big budget action filmmaking doesn't get much better than this. The character acting matches the action, which is rare.",Avengers: Endgame,Avengers: Endgame - Movie Reviews
48,Mike D,6d ago,"la mejor película de Marvel ala fecha, emocionante, épica, y buena",Avengers: Endgame,Avengers: Endgame - Movie Reviews
49,Jack T,6d ago,"From start to finish, Endgame is an intriguing conclusion to the Avengers series.",Avengers: Endgame,Avengers: Endgame - Movie Reviews
50,Anthony B,"Nov 21, 2021",My favorite marvel movie of all time it made me cheer and yes made me cry but still the most beloved movie of my life forever the best to me. 👍❤️😁,Avengers: Endgame,Avengers: Endgame - Movie Reviews
51,Halen L,"Nov 21, 2021","The long-awaited conclusion to the Infinity Saga, Avengers: Endgame sadly fails to live up to its predecessor, bringing forth a tiring film that has me falling asleep before the final battle has even begun.",Avengers: Endgame,Avengers: Endgame - Movie Reviews
52,Peter G,"Nov 20, 2021",nonsense for children and loners,Avengers: Endgame,Avengers: Endgame - Movie Reviews
53,Dennis L,"Nov 20, 2021","vaya final de una era un final a la altura Marvel y los vengadores, esta sera una pelicula de culto que pasara a la historia....una real obra maestra",Avengers: Endgame,Avengers: Endgame - Movie Reviews
54,Samuel S,"Nov 19, 2021","A three hour force feeding of ""what's going on?"" and ""why do I care?""",Avengers: Endgame,Avengers: Endgame - Movie Reviews
55,Haribabu B,Verified,"Nov 18, 2021",Avengers: Endgame,Avengers: Endgame - Movie Reviews
56,Aaron,Verified,"Nov 18, 2021",Avengers: Endgame,Avengers: Endgame - Movie Reviews
57,Allaam H,"Nov 18, 2021","I love this, a remarkable cinematography and the story at this Marvel Studio is so dynamic and beautiful, this is best Marvel ever, good job",Avengers: Endgame,Avengers: Endgame - Movie Reviews
58,Francisco O,"Nov 16, 2021","It is the movie that I expected to see after 21 episodes that were shaping a great saga on the way. It's what I expected to see, after they've invested over $ 350 million doing it. And it's definitely what I was hoping to see to dramatically close a franchise that, in my opinion, should take a break so as not to saturate the genre. Although James Cameron deserves to be on the podium of the best of the film industry forever, if Endgame gets to surpass Avatar, it is deserved. This movie goes straight to my top 10 favorites movies of all time.",Avengers: Endgame,Avengers: Endgame - Movie Reviews
59,Alex T,"Nov 16, 2021","I've always liked Marvel comics and followed the movies somewhat as a result, never really following the MCU, but due to movies like Endgame I feel like I'm really falling out with the fanbase. My view of Endgame is its just overrated beyond belief, I think the premise is okay in the sense that it ties all the previous movies up and includes many of the characters but its bad in the way in how destructive it is, disabling any kind of meaningful progression in the franchise. I feel in this way, the deaths in this film and the one before it are hollow where they have little meaning due to them being resurrected in a spinoff or in canon. Admittedly the special effects are impressive and the sheer scope of the movie is as well but is undermined by a destructive and substance-less story in addition to the its copious runtime. I'm sorry Marvel, you've lost me on this one.",Avengers: Endgame,Avengers: Endgame - Movie Reviews
60,Aidan B,"Nov 16, 2021","A fine film that, in my eyes, feels very overrated. The comedy feels more forced, the story is just constant fan-service, and the final fight scene feels more cringe than epic due to the goofiness of some of the choices they made (ie all the Avengers running in a line). While the beginning and ending was admittedly great, and the acting is still as good as ever, ""Avengers: Endgame"" just fails to hold a light to some of the far better installments in the MCU. While I still found the film to be mostly enjoyable, I was able to find enough glaring flaws during my rewatch to bring the score down.",Avengers: Endgame,Avengers: Endgame - Movie Reviews
61,Vito N,"Nov 15, 2021","After much thought I have come to the conclusion that this is my Favorite Movie of All Time. It's 3 hours long, and it's all worth it. There's so much to talk about this film whether it's the drama between Cap and his final fight, Tony and coming to peace with his father, or Thor realizing that it's him that makes the lighting and not the lightning that makes him. The action is the best it's ever been, the CGI is world class as always, and the performances from the entire ensemble cast is as good as it'll ever be. Is it a perfect film? Heck no, but it's as close to perfect as you could ever get, and it comes pretty damn close. Avenger's Endgame broke the box office record and deservingly so, it's a film that cemented the MCUs legacy forever, and showed the world that superhero movies are ""more than just a shield.""",Avengers: Endgame,Avengers: Endgame - Movie Reviews
62,Jazbro G,"Nov 15, 2021","A truly fitting end to a MOSTLY great Thanos Saga...Outside of a few hiccups Ultron, Thor -DarkWorld & the speed bump that is Cap'n Marvel...Endgame was REALLY GOOD...",Avengers: Endgame,Avengers: Endgame - Movie Reviews
63,Chris M,"Nov 15, 2021",entertaining that's about it.,Avengers: Endgame,Avengers: Endgame - Movie Reviews
64,Allen A,"Nov 14, 2021",This is how you end the phase 1 storyline!,Avengers: Endgame,Avengers: Endgame - Movie Reviews
65,Samir S,"Nov 14, 2021","Just watched to get it over with. At times it seems like a bad sitcom, at others as another repetition of the same motif. Time travel is stupid and hackneyed by the way.",Avengers: Endgame,Avengers: Endgame - Movie Reviews
66,Juan L,"Nov 13, 2021",Una gran salto atrás en lo que finalmente había sido un avance en un universo que literalmente tiene un Deus ex machina de los más estúpidos en la historia del cine,Avengers: Endgame,Avengers: Endgame - Movie Reviews
67,Word U,"Nov 12, 2021",Wonderful! I enjoyed just about every minute of it. The forced scene of all the women together in one shot on the battlefield was very unnatural and was only placed in the film for virtue signaling points.,Avengers: Endgame,Avengers: Endgame - Movie Reviews
68,Chris T,"Nov 12, 2021",3 1/2 stars for being a great film. - 1 1/2 for that stupid scene in the middle of the battle. You know the one.,Avengers: Endgame,Avengers: Endgame - Movie Reviews
69,Priyatham R,"Nov 12, 2021","Trash as all other MCU movies story has little bit hype but russo brother made worst fight scenes ,stole some story from batman vs superman and this movie completely disappointed most of the fans due to too many plot holes.",Avengers: Endgame,Avengers: Endgame - Movie Reviews
70,Noah C,"Nov 12, 2021",incredible! 2nd best mcu movie its an amazing end to the infinty saga. dramatic incredible action and hilarious. MUST WATCH!!!!!!,Avengers: Endgame,Avengers: Endgame - Movie Reviews
71,Joelson J,"Nov 11, 2021",Absolutely 10/10 movie. Great conclusion to a well elaborated saga. It' s basically a great narrative wrapped up with tons of fan service.,Avengers: Endgame,Avengers: Endgame - Movie Reviews
72,Donder L,"Nov 10, 2021","best movie i have ever seen, i realy liked how we could see how the snap damaged the emotion of the Avengers.",Avengers: Endgame,Avengers: Endgame - Movie Reviews
73,Marcelo C,"Nov 09, 2021","Encerra uma etapa da saga com chave de ouro. Mescla suspense, comédia, aventura, ação e drama com maestria. As 3 horas do filme passam de forma muito leve, devido à enorme habilidade dos editores. Ao lado de ""Guerra Infinita"", ""Ultimato"" está entre as melhores obras já realizadas pela Marvel. Esta obra-prima agrada em todos os aspectos e seu desfecho é simplesmente sublime.",Avengers: Endgame,Avengers: Endgame - Movie Reviews
74,Tobias H,"Nov 09, 2021","I was very surprised with how they came up with Infinity War, and I must say that Endgame provides us with the perfect sequel. I still feel like I enjoyed Infinity War better, but this movie is a must-see, especially with the way its predecessor leaves you. It was thrilling and great fun, everything you expect from an MCU movie, but it also delivered a subversion in expectation, like its predecessor certainly did, and I highly appreciate it.",Avengers: Endgame,Avengers: Endgame - Movie Reviews
75,Andrei A,"Nov 09, 2021","A very fun movie, This is a very fun movie to watch but it went a little big too long but that's fine. One of my favorite movies",Avengers: Endgame,Avengers: Endgame - Movie Reviews
76,Lawrence M,"Nov 09, 2021","The trailers had me so hyped, and kept me guessing as to how they will play out the film. Saw this movie about 4-5 times. Looking back, should have been the Swan Song to the MCU, and Marvel Studios should have taken a 5-10 year break before starting Phase 4.",Avengers: Endgame,Avengers: Endgame - Movie Reviews
77,Dennis B,"Nov 09, 2021",This is a Marvel movie!,Avengers: Endgame,Avengers: Endgame - Movie Reviews
78,Samuel D,"Nov 08, 2021",epic epic epic epic epic,Avengers: Endgame,Avengers: Endgame - Movie Reviews
79,Carrie W,"Nov 08, 2021",Love this film! All the heroes joining forces! :D,Avengers: Endgame,Avengers: Endgame - Movie Reviews
80,Armando C,1h ago,love everything from this movie,Titanic,Titanic - Movie Reviews
81,Aidan B,3d ago,"There are several dumb plot conveniences, though they are quickly overshadowed by the spectacle and powerful performances that ""Titanic"" brings along with it. This classic movie has revolutionary CGI for its time, with the classic story of star-crossed-lovers transitioned to the Titanic perfectly, this film remains one of Cameron's best works ever put on the big screen. The story is well, and the actual romance is done questionably but still makes enough sense. Overall, a great film that truly captures the horror of what occurred on the Titanic, providing several tear-jerking moments, especially towards the end.",Titanic,Titanic - Movie Reviews
82,Giuseppe P,"Nov 20, 2021",simply the best movie ever,Titanic,Titanic - Movie Reviews
83,Michael M,"Nov 19, 2021","Titanic is a movie which perhaps suffered from receiving too much positive critical attention. The dialogue is melodramatic and the characters sometimes make questionable decisions, but as a spectacle, the movie is very successful with its lavish sets and impressive set pieces. Temper your expectations, and you will likely enjoy the film.",Titanic,Titanic - Movie Reviews
84,"Nov 09, 2021",With a different director and script this film would have been Oscar-worthy.,FLAG THIS REVIEW,Titanic,Titanic - Movie Reviews
85,Money G,"Nov 09, 2021","CMON! I was expecting more from the characters. I grew up in America and this is a movie commonly referenced in conversation. Sadly, it is a reflection of American taste and depth more than it is a beautiful movie. James Cameron extends greater consideration towards budget, set design, a panning camera, and scope of grandeur and disaster than what I identify as the real conflict worth tears. Not one person survived with a Third Class ticket. The rich negotiate, offer leverage, hide in spacious lifeboats and Rose survives instead of Jack. This is an accurate story but should be received as a tragedy instead of a romance. What lines of memorable dialogue are there? They pass the plot along, the ship must sink. There are memorable visuals, the set is magnificent, and the scene where voices stop and are frozen is excellent. However, unlike the iceberg, there is not enough depth.",Titanic,Titanic - Movie Reviews
86,Brian D,"Nov 08, 2021",92%. Loved it. First half is great development into their love story and the second half is the thrilling part of the ship wreck. Love the time culture with the time it takes place in. Love Kate's character and how she's an early feminist of sorts. Leo is very likable also. Hadn't really sat down and watched it all before and it was well worth it. Would definitely rewatch,Titanic,Titanic - Movie Reviews
87,Max G,"Oct 25, 2021","While a bit excessive and grandiose at times with some uneven sequencing (and I can see how some might think that about it), it is undeniably a very well-directed and executed film with fine acting and writing overall. I bought into the romance, the series of events, and details behind the portrayal of the sinking of the ship! It definitely wasn't bad, nothing is really bad with Leonardo DiCaprio in it too!",Titanic,Titanic - Movie Reviews
88,Augustine H,"Oct 21, 2021","The most beloved cliched, but classics, of all time.",Titanic,Titanic - Movie Reviews
89,Shane B,"Oct 20, 2021","There's a reason why this movie was such a success, 4 and a half out of 5 stars. You won't be disappointed!",Titanic,Titanic - Movie Reviews
90,Cody W,"Oct 15, 2021",If only I could travel back in time to explore one of the most recognizable ships in the world and its history. TITANIC is an amazing movie. It just makes you feel emotional once it all comes together.,Titanic,Titanic - Movie Reviews
91,Cem Okan Y,"Oct 09, 2021",What an epic story that combines a love tale with the tragic events of a disaster in human history. Still fresh years after... The only poor part is the predictability of this love story that carries many elements from classic romcoms..,Titanic,Titanic - Movie Reviews
92,Joey V,"Oct 07, 2021",A modern masterpiece brilliantly directed by James Cameron it tells the love story of rose and jack during the sinking of the titanic the score by Celine Dion is incredible and never fails to amaze me this may be a long movie but you'll never get bored once,Titanic,Titanic - Movie Reviews
93,Jona I,"Oct 06, 2021","Incredible in its large-scale production. The performances are good. What it largely suffers from is an often juvenile script--though even that does have its moments of expertise. In all, it is an exciting sweeping adventure!",Titanic,Titanic - Movie Reviews
94,melyssa b,"Sep 29, 2021","It's a film that everyone should see once in their lives. Its brilliant cast elevates the movie even more. Kate Winslet and Leonardo DiCaprio have undeniable chemistry. Titanic makes us experience tragedy in two ways. The tragic death of thousands of people losing their lives, but we also experience it in the way it affected Rose personally. It's been over 20 years since the film debut, and it still holds up just as well and is an all-time classic.",Titanic,Titanic - Movie Reviews
95,Pete O,"Sep 26, 2021","If director James Cameron had concentrated on his thesis -- that the sailing of the Titanic basically marked the transition from 19th Century ideas of classism to 20th Century notions of egalitarianism -- and had ignored the boring love story, this could have been a far more impactful feature.",Titanic,Titanic - Movie Reviews
96,Jihad A,"Sep 18, 2021",This is Greatest movie ever,Titanic,Titanic - Movie Reviews
